unique_id,max_prob,min_prob,path_exists
10589---BART---2015,no_match,no_match,0
10595---BART---2015,no_match,no_match,0
106---Caltrain---2014,no_match,no_match,0
10600---BART---2015,no_match,no_match,0
10602---BART---2015,no_match,no_match,0
10606---BART---2015,no_match,no_match,0
10608---BART---2015,no_match,no_match,0
10611---BART---2015,no_match,no_match,0
10614---BART---2015,no_match,no_match,0
10619---BART---2015,no_match,no_match,0
1062---Caltrain---2014,no_match,no_match,0
10623---BART---2015,no_match,no_match,0
10627---BART---2015,no_match,no_match,0
1063---Napa Vine---2014,no_match,no_match,0
1063---Tri-Delta---2014,no_match,no_match,0
10632---BART---2015,no_match,no_match,0
10636---BART---2015,no_match,no_match,0
10642---BART---2015,no_match,no_match,0
10644---BART---2015,no_match,no_match,0
1066---Caltrain---2014,no_match,no_match,0
10660---BART---2015,no_match,no_match,0
10661---BART---2015,no_match,no_match,0
10666---BART---2015,no_match,no_match,0
1067---BART---2015,no_match,no_match,0
10674---BART---2015,no_match,no_match,0
1068---BART---2015,no_match,no_match,0
10682---BART---2015,no_match,no_match,0
10686---BART---2015,no_match,no_match,0
10688---BART---2015,no_match,no_match,0
1069---Caltrain---2014,no_match,no_match,0
10699---BART---2015,no_match,no_match,0
1070---Caltrain---2014,no_match,no_match,0
10703---BART---2015,no_match,no_match,0
10712---BART---2015,no_match,no_match,0
10716---BART---2015,no_match,no_match,0
1072---Napa Vine---2014,no_match,no_match,0
10720---BART---2015,no_match,no_match,0
10724---BART---2015,no_match,no_match,0
10728---BART---2015,no_match,no_match,0
1073---Napa Vine---2014,1.0,1.0,1
10741---BART---2015,no_match,no_match,0
10747---BART---2015,no_match,no_match,0
10752---BART---2015,no_match,no_match,0
10755---BART---2015,no_match,no_match,0
1076---BART---2015,no_match,no_match,0
10765---BART---2015,no_match,no_match,0
10769---BART---2015,no_match,no_match,0
1077---BART---2015,no_match,no_match,0
1078---Tri-Delta---2014,no_match,no_match,0
10785---BART---2015,no_match,no_match,0
10788---BART---2015,no_match,no_match,0
10789---BART---2015,no_match,no_match,0
10791---BART---2015,no_match,no_match,0
10793---BART---2015,no_match,no_match,0
1080---BART---2015,no_match,no_match,0
10816---BART---2015,no_match,no_match,0
1082---Tri-Delta---2014,no_match,no_match,0
10833---BART---2015,no_match,no_match,0
1084---Napa Vine---2014,no_match,no_match,0
10849---BART---2015,no_match,no_match,0
1085---Caltrain---2014,no_match,no_match,0
10850---BART---2015,no_match,no_match,0
10852---BART---2015,no_match,no_match,0
1086---Caltrain---2014,no_match,no_match,0
10865---BART---2015,no_match,no_match,0
10869---BART---2015,no_match,no_match,0
1087---Caltrain---2014,no_match,no_match,0
10876---BART---2015,no_match,no_match,0
1088---Caltrain---2014,no_match,no_match,0
10881---BART---2015,no_match,no_match,0
10892---BART---2015,no_match,no_match,0
10899---BART---2015,no_match,no_match,0
10901---BART---2015,no_match,no_match,0
10903---BART---2015,no_match,no_match,0
10907---BART---2015,no_match,no_match,0
1091---Caltrain---2014,no_match,no_match,0
10911---BART---2015,no_match,no_match,0
10914---BART---2015,no_match,no_match,0
1092---Tri-Delta---2014,no_match,no_match,0
10921---BART---2015,no_match,no_match,0
10922---BART---2015,no_match,no_match,0
1093---Tri-Delta---2014,no_match,no_match,0
10935---BART---2015,no_match,no_match,0
10944---BART---2015,no_match,no_match,0
10947---BART---2015,no_match,no_match,0
10948---BART---2015,no_match,no_match,0
1095---Caltrain---2014,no_match,no_match,0
1095---Tri-Delta---2014,no_match,no_match,0
10951---BART---2015,no_match,no_match,0
10956---BART---2015,no_match,no_match,0
1096---Caltrain---2014,no_match,no_match,0
10969---BART---2015,no_match,no_match,0
1097---BART---2015,no_match,no_match,0
1097---Caltrain---2014,no_match,no_match,0
10970---BART---2015,no_match,no_match,0
10972---BART---2015,no_match,no_match,0
10977---BART---2015,no_match,no_match,0
1098---Napa Vine---2014,no_match,no_match,0
1098---Tri-Delta---2014,no_match,no_match,0
10980---BART---2015,no_match,no_match,0
10985---BART---2015,no_match,no_match,0
10998---BART---2015,no_match,no_match,0
11002---BART---2015,no_match,no_match,0
1102---BART---2015,no_match,no_match,0
11021---BART---2015,no_match,no_match,0
11025---BART---2015,no_match,no_match,0
1103---Napa Vine---2014,no_match,no_match,0
1103---Tri-Delta---2014,no_match,no_match,0
11032---BART---2015,no_match,no_match,0
11033---BART---2015,no_match,no_match,0
11037---BART---2015,no_match,no_match,0
1104---Tri-Delta---2014,no_match,no_match,0
11040---BART---2015,no_match,no_match,0
11049---BART---2015,no_match,no_match,0
11051---BART---2015,no_match,no_match,0
11058---BART---2015,no_match,no_match,0
1106---BART---2015,no_match,no_match,0
11062---BART---2015,no_match,no_match,0
11066---BART---2015,no_match,no_match,0
1107---Caltrain---2014,no_match,no_match,0
11073---BART---2015,no_match,no_match,0
11076---BART---2015,no_match,no_match,0
11078---BART---2015,no_match,no_match,0
1108---BART---2015,no_match,no_match,0
11084---BART---2015,no_match,no_match,0
11085---BART---2015,no_match,no_match,0
111---Caltrain---2014,no_match,no_match,0
1110---BART---2015,no_match,no_match,0
1110---Caltrain---2014,no_match,no_match,0
11104---BART---2015,no_match,no_match,0
11108---BART---2015,no_match,no_match,0
11115---BART---2015,no_match,no_match,0
1112---BART---2015,no_match,no_match,0
11122---BART---2015,no_match,no_match,0
11125---BART---2015,no_match,no_match,0
1113---Caltrain---2014,no_match,no_match,0
11146---BART---2015,no_match,no_match,0
1115---BART---2015,no_match,no_match,0
11151---BART---2015,no_match,no_match,0
11153---BART---2015,no_match,no_match,0
11158---BART---2015,no_match,no_match,0
11160---BART---2015,no_match,no_match,0
11161---BART---2015,no_match,no_match,0
11164---BART---2015,no_match,no_match,0
1117---BART---2015,no_match,no_match,0
11172---BART---2015,no_match,no_match,0
1118---BART---2015,no_match,no_match,0
1119---Tri-Delta---2014,no_match,no_match,0
11196---BART---2015,no_match,no_match,0
11207---BART---2015,no_match,no_match,0
1121---Caltrain---2014,no_match,no_match,0
1121---Tri-Delta---2014,no_match,no_match,0
11214---BART---2015,no_match,no_match,0
11215---BART---2015,no_match,no_match,0
11217---BART---2015,no_match,no_match,0
11219---BART---2015,no_match,no_match,0
1122---BART---2015,no_match,no_match,0
1122---Napa Vine---2014,no_match,no_match,0
11223---BART---2015,no_match,no_match,0
11224---BART---2015,no_match,no_match,0
11235---BART---2015,no_match,no_match,0
1124---Caltrain---2014,no_match,no_match,0
1124---Napa Vine---2014,no_match,no_match,0
11249---BART---2015,no_match,no_match,0
1126---Caltrain---2014,no_match,no_match,0
11263---BART---2015,no_match,no_match,0
11268---BART---2015,no_match,no_match,0
1127---Napa Vine---2014,no_match,no_match,0
11274---BART---2015,no_match,no_match,0
11276---BART---2015,no_match,no_match,0
11288---BART---2015,no_match,no_match,0
1129---BART---2015,no_match,no_match,0
11290---BART---2015,no_match,no_match,0
11293---BART---2015,no_match,no_match,0
11296---BART---2015,no_match,no_match,0
1131---BART---2015,no_match,no_match,0
1131---Tri-Delta---2014,no_match,no_match,0
11311---BART---2015,no_match,no_match,0
11313---BART---2015,no_match,no_match,0
11317---BART---2015,no_match,no_match,0
1132---Napa Vine---2014,no_match,no_match,0
1132---Tri-Delta---2014,no_match,no_match,0
11328---BART---2015,no_match,no_match,0
11333---BART---2015,no_match,no_match,0
11343---BART---2015,no_match,no_match,0
11345---BART---2015,no_match,no_match,0
11348---BART---2015,no_match,no_match,0
11349---BART---2015,no_match,no_match,0
11359---BART---2015,no_match,no_match,0
11361---BART---2015,no_match,no_match,0
11363---BART---2015,no_match,no_match,0
1137---BART---2015,no_match,no_match,0
11370---BART---2015,no_match,no_match,0
11372---BART---2015,no_match,no_match,0
11377---BART---2015,no_match,no_match,0
11378---BART---2015,no_match,no_match,0
1138---Napa Vine---2014,no_match,no_match,0
11400---BART---2015,no_match,no_match,0
11409---BART---2015,no_match,no_match,0
1141---BART---2015,no_match,no_match,0
1143---BART---2015,no_match,no_match,0
11432---BART---2015,no_match,no_match,0
11438---BART---2015,no_match,no_match,0
1144---Caltrain---2014,no_match,no_match,0
1144---Tri-Delta---2014,no_match,no_match,0
11445---BART---2015,no_match,no_match,0
11446---BART---2015,no_match,no_match,0
1146---Caltrain---2014,no_match,no_match,0
1146---Napa Vine---2014,no_match,no_match,0
11460---BART---2015,no_match,no_match,0
11471---BART---2015,no_match,no_match,0
11477---BART---2015,no_match,no_match,0
1148---Tri-Delta---2014,no_match,no_match,0
11486---BART---2015,no_match,no_match,0
1149---Tri-Delta---2014,no_match,no_match,0
