N,X,Y,TAZ,TAZdist
27990,5981350.90000,2110965.17000,269,0.000
27991,5981338.65000,2111301.76000,269,0.000
27992,5981647.34000,2111312.84000,269,0.000
27993,5981634.83000,2111656.71000,269,0.000
27994,5981609.35000,2112356.95000,291,0.000
27995,5981326.14000,2111645.64000,269,0.000
27996,5981300.66000,2112345.89000,291,0.000
27997,5982221.46000,2112612.45000,291,0.000
27998,5981908.30000,2112653.94000,291,0.000
27999,5982205.19000,2113077.80000,738,0.000
28002,5981597.37000,2112692.20000,291,0.000
28003,5981288.61000,2112677.22000,291,0.000
28004,5981442.22000,2112686.92000,291,0.000
28005,5981432.11000,2112964.69000,291,0.000
28006,5981042.04000,2110954.01000,688,0.000
28007,5981029.79000,2111290.67000,688,0.000
28008,5980730.50000,2110942.75000,688,0.000
28009,5980404.70000,2110930.97000,689,0.000
28010,5981017.28000,2111634.58000,688,0.000
28011,5980991.80000,2112334.82000,688,0.000
28013,5980980.05000,2112657.73000,291,0.000
28014,5980857.19000,2112943.04000,738,0.000
28017,5987140.05000,2113941.47000,674,0.000
28018,5986829.85000,2113930.38000,674,0.000
28019,5987120.39000,2114476.69000,720,0.000
28020,5987176.81000,2114623.43000,720,0.000
28021,5986811.29000,2114440.44000,720,0.000
28022,5986795.86000,2114864.55000,719,0.000
28023,5986518.97000,2113919.27000,759,0.000
28024,5986208.89000,2113908.19000,675,0.000
28025,5986509.20000,2114178.21000,720,0.000
28026,5986498.64000,2114458.29000,720,0.000
28027,5986482.63000,2114882.61000,758,0.000
28028,5986201.05000,2114139.03000,759,0.000
28030,5986044.47000,2114927.93000,759,0.000
28031,5987109.66000,2114854.91000,719,0.000
28032,5987109.60000,2115354.94000,719,0.000
28033,5987224.02000,2115740.77000,758,0.000
28034,5986798.79000,2115587.70000,758,0.000
28035,5986572.04000,2114910.32000,758,0.000
28036,5985747.12000,2115006.35000,758,0.000
28038,5985906.45000,2113666.82000,675,0.000
28040,5985898.27000,2113897.09000,675,0.000
28047,5991674.64000,2088888.93000,24,0.000
28057,6014567.97000,2112789.85000,693,0.000
28058,6014319.95000,2112632.52000,693,0.000
28060,6014151.52000,2112392.00000,693,0.000
28061,6014031.76000,2112277.53000,641,0.000
28064,6013005.16000,2112035.70000,640,0.000
28073,6009135.03000,2095635.91000,412,0.000
28079,5996572.26000,2111954.61000,288,0.000
28083,6009987.25000,2098697.55000,114,0.000
28084,6009394.72000,2108129.99000,569,0.000
28089,6012834.30000,2102069.06000,152,0.000
28098,6012812.77000,2102463.20000,152,0.000
28106,5989561.54000,2109349.03000,583,0.000
28136,6010394.78000,2120173.95000,382,0.000
28144,6015368.49000,2088200.28000,881,0.000
28147,6011653.47000,2112773.16000,672,0.000
28148,5996954.01000,2090537.00000,45,0.000
28150,6016643.09000,2095560.95000,410,0.000
28152,6016529.25000,2095695.77000,410,0.000
28162,5995066.03000,2097310.89000,103,0.000
28163,5994958.38000,2096796.79000,405,0.000
28166,6016387.24000,2095871.56000,410,0.000
28173,6010903.43000,2093889.70000,79,0.000
28177,6016376.84000,2096060.72000,410,0.000
28178,6000080.73000,2093871.08000,71,0.000
28180,6010903.30000,2119656.29000,374,0.000
28184,6015736.00000,2100665.04000,491,0.000
28186,6016519.44000,2101651.57000,492,0.000
28187,6012288.41000,2107819.19000,573,0.000
28191,6007079.91000,2099385.30000,116,0.000
28192,6016413.30000,2090618.25000,892,0.000
28193,6015880.95000,2091015.11000,892,0.000
28195,6013374.95000,2095621.74000,398,0.000
28196,6012848.85000,2093627.56000,907,0.000
28199,6008884.33000,2096024.42000,413,0.000
28200,6009062.08000,2096007.79000,413,0.000
28222,6016656.52000,2095241.73000,410,0.000
28223,6016684.82000,2095128.37000,410,0.000
28225,6016757.06000,2095598.40000,410,0.000
28232,6016578.76000,2090840.20000,892,0.000
28245,6000813.65000,2104009.42000,178,0.000
28260,5985986.90000,2094302.07000,83,0.000
28261,5985837.96000,2094117.30000,83,0.000
30003,6010592.36000,2109964.69000,603,0.000
30004,6010704.08000,2109848.42000,603,0.000
30008,6012001.61000,2111956.11000,664,0.000
30009,6012211.24000,2111552.48000,639,0.000
30010,5990621.75705,2089134.78814,883,0.000
30011,6009983.04000,2111914.30000,669,0.000
30012,6013983.02000,2114954.05000,731,0.000
30016,6012989.92000,2113775.33000,690,0.000
30017,6013497.01000,2110206.35000,657,0.000
30018,6014343.57000,2113891.43000,768,0.000
30019,6013411.09000,2108982.37000,928,34.720
30020,6014099.70000,2109575.36000,654,7.262
30021,6015455.64000,2110646.12000,655,0.000
30022,6015846.52000,2108594.97000,649,0.000
30023,6006767.23000,2122558.50000,847,0.000
30024,6014464.40134,2113897.33425,768,0.000
30025,6014853.47856,2113916.33456,768,0.000
30027,6006984.31000,2120992.40000,848,0.000
30028,6007225.72000,2119256.50000,368,0.000
30035,6008833.89000,2120415.51000,381,0.000
30037,6012657.41000,2119723.34000,827,0.000
30038,6012316.04000,2119675.92000,827,0.000
30039,6012093.10000,2118773.77000,826,0.000
30040,6011689.85000,2119071.31000,372,0.000
30041,6010017.43000,2117816.92000,352,0.000
