stop_id,stop_name,stop_lat,stop_lon,zone_id
6202,6202,37.3989084046,-122.100091018,
6203,6203,37.3947453148,-122.089645627,
6204,6204,37.3929701186,-122.085035326,
6205,6205,37.3515388551,-121.815352859,
6206,6206,37.3562402295,-121.819474364,
6207,6207,37.3526671857,-121.824628785,
6208,6208,37.3508127605,-121.827512767,
6210,6210,37.3603556565,-121.840078948,
6211,6211,37.3511475938,-121.836777049,
6212,6212,37.3538774864,-121.839410865,
6218,6218,37.3542546904,-121.830123891,
6219,6219,37.3464404573,-121.849460377,
6222,6222,37.3751958768,-121.83592009,
6223,6223,37.381299387,-121.826947864,
6224,6224,37.3760394374,-121.821561986,
6225,6225,37.382750306,-121.84155258,
6229,6229,37.4017131794,-122.079223379,
6230,6230,37.3580173549,-121.861015571,
6231,6231,37.3653507259,-121.850402564,
6234,6234,37.3624225358,-121.835778686,
6235,6235,37.3585814898,-121.843911528,
6236,6236,37.3555519739,-121.841044881,
6237,6237,37.3470729559,-121.833057809,
6238,6238,37.3401879558,-121.84327917,
6239,6239,37.3498185839,-121.852976559,
6240,6240,37.3526941755,-121.855800651,
6241,6241,37.3558313657,-121.84935091,
6243,6243,37.9727300903,-122.561630625,61
6244,6244,37.9802708361,-122.565673611,61
6248,6248,37.3379533519,-121.791950791,
6256,6256,37.3334373222,-121.896153511,
6257,6257,37.3770525657,-121.913585676,
6259,6259,37.3504995312,-121.920539523,
6262,6262,37.3752457374,-121.942965362,
6265,6265,37.366823934,-121.925602058,
6267,6267,37.3705724573,-121.916592859,
6279,6279,37.3912547888,-122.049268142,
6280,6280,37.3613766341,-121.856064049,
6281,6281,37.9840245854,-122.571789251,61
6283,6283,37.9866663091,-122.577035028,61
6284,6284,37.3672445653,-121.817962331,
6285,6285,37.9865775243,-122.582456092,61
6286,6286,37.3698283658,-121.930900982,
6287,6287,37.3486800514,-121.830594268,
6288,6288,37.3402828287,-121.821840169,
6293,6293,37.3429594686,-121.926946932,
6296,6296,37.3527314387,-121.936077607,
6297,6297,37.4240968046,-122.160762368,
6299,6299,37.3444657413,-121.932039679,
6301,6301,37.3693019821,-121.959808067,
6302,6302,37.3693020738,-121.965985523,
6303,6303,37.3865357328,-121.96083515,
6308,6308,37.3587162728,-121.940080729,
6309,6309,37.3597847699,-121.941635274,
6312,6312,37.374143101,-121.95377795,
6313,6313,37.374271258,-121.966301308,
6314,6314,37.3659857454,-121.950706656,
6315,6315,37.3778562126,-121.966026211,
6316,6316,37.3799695561,-121.977913366,
6317,6317,37.3739561261,-121.988227388,
6318,6318,37.3705498378,-121.941969668,
6321,6321,37.3754543358,-121.977974642,
6322,6322,37.3739683599,-121.97811904,
6324,6324,37.3740655522,-121.966484836,
6325,6325,37.380175873,-121.988279367,
6328,6328,37.3741528379,-121.950807478,
6332,6332,37.370134419,-121.972546899,
6333,6333,37.3760572144,-121.960279495,
6334,6334,37.3530749291,-121.951326751,
6335,6335,37.3547807918,-121.94651557,
6336,6336,37.3551530938,-121.943361532,
6338,6338,37.3500621976,-121.943984712,
6339,6339,37.3490742047,-121.943366295,
6340,6340,37.3487906483,-121.943912202,
6341,6341,37.3474443543,-121.947589036,
6343,6343,37.3437934675,-121.945517567,
6344,6344,37.3415734229,-121.9512948,
6345,6345,37.3384191499,-121.938209909,
6346,6346,37.3426703251,-121.952002063,
6349,6349,37.3446548742,-121.946092581,
6351,6351,37.3789962175,-121.970652722,
6352,6352,37.3825484167,-122.077965372,
6353,6353,37.3804249871,-122.05431825,
6358,6358,37.9487996716,-122.549389374,65
6362,6362,37.9464978653,-122.510171367,
6365,6365,37.3298219255,-121.95765497,
6366,6366,37.3188498658,-121.822840695,
6367,6367,37.3298113676,-121.964664605,
6368,6368,37.3299745616,-121.975125837,
6369,6369,37.3327518853,-121.974218938,
6370,6370,37.3230475756,-121.975637521,
6371,6371,37.3230427266,-121.970167905,
6372,6372,37.322870882,-121.996034458,
6373,6373,37.3312253182,-121.99590071,
6374,6374,37.3299326032,-121.98070241,
6375,6375,37.2445520171,-121.868171218,
6376,6376,37.3229658124,-121.988132696,
6378,6378,37.329885027,-121.967936952,
6383,6383,37.3984665928,-122.065219919,
6384,6384,37.4019894623,-122.058227681,
6385,6385,37.380885238,-122.027712394,
6386,6386,37.3749397117,-122.035172058,
4577,4577,37.6837717559,-122.063885026,
6389,6389,37.3521119779,-121.959661435,
6390,6390,37.3607941925,-121.959914223,
6392,6392,37.346072672,-121.959631873,
6396,6396,37.3972336328,-122.082723967,
6399,6399,37.385608273,-122.048763359,
6401,6401,37.3463576869,-121.97784985,
6402,6402,37.3629517092,-121.975784133,
6404,6404,37.3520425562,-121.977968947,
6405,6405,37.3381574495,-121.977046614,
6406,6406,37.3604488114,-121.976171027,
6408,6408,37.3520437232,-121.983971388,
6409,6409,37.366640104,-121.989972299,
6411,6411,37.3520743006,-121.968739726,
6412,6412,37.3878837388,-122.047028882,
6415,6415,37.3868054656,-121.996233031,
6416,6416,37.3841250548,-122.007575661,
6418,6418,37.3520727779,-122.005400911,
6420,6420,37.361529415,-122.024975393,
6421,6421,37.3526619038,-122.014403268,
6422,6422,37.351977608,-122.01449125,
6424,6424,37.3481734616,-122.014439367,
6425,6425,37.3376098834,-122.014475824,
6426,6426,37.3377242024,-121.995966591,
6427,6427,37.0180322715,-121.599353814,
6428,6428,37.337549948,-122.02355267,
6429,6429,37.3520861362,-121.996311644,
6430,6430,37.3243416418,-122.00666948,
6431,6431,37.3886263312,-122.015547984,
6433,6433,37.3920418974,-122.030070548,
6435,6435,37.3887876992,-121.970982001,
6436,6436,37.3947403754,-121.958871971,
6437,6437,37.4035676169,-121.978010936,
6438,6438,37.3960767737,-122.028780778,
6441,6441,37.3936503861,-122.013810315,
6445,6445,37.3896394586,-122.030770818,
6446,6446,37.3878620479,-122.025566392,
6447,6447,37.3852182987,-122.017603195,
6448,6448,37.3833932607,-122.018169191,
6449,6449,37.3734505851,-122.021336897,
6450,6450,37.3765238025,-122.0202014,
6452,6452,37.3802535046,-121.996331667,
6453,6453,37.3671669626,-122.023372228,
6454,6454,37.3664350472,-122.014460275,
6455,6455,37.3751671505,-122.014221791,
6456,6456,37.3665541611,-121.996469019,
6457,6457,37.3738628021,-121.996315182,
6458,6458,37.3833572106,-122.018169661,
6462,6462,37.3806602967,-122.019029367,
6463,6463,37.3795181414,-122.019337913,
6464,6464,37.3863336884,-122.016244423,
6465,6465,37.3811636079,-122.012358661,
6467,6467,37.3783676003,-122.013219846,
6468,6468,37.3778734197,-122.013407036,
6472,6472,37.2912450142,-121.815949273,
6473,6473,37.370317848,-122.01421749,
6474,6474,37.3665402111,-122.003346618,
6475,6475,37.385801993,-122.026056185,
6476,6476,37.3808094059,-122.007732311,
6477,6477,37.3740173716,-122.00930132,
6478,6478,37.3835467762,-122.061496909,
6479,6479,37.3786863403,-122.046580537,
6480,6480,37.3736302018,-122.056752732,
6481,6481,37.3716738746,-122.04882641,
6482,6482,37.3690409441,-122.037171011,
6483,6483,37.3791417419,-122.033870847,
6484,6484,37.3699409505,-122.041270344,
6485,6485,37.3779007244,-122.030879556,
6486,6486,37.3770750505,-122.029116933,
6490,6490,37.385964023,-122.065115364,
6491,6491,37.3971353341,-122.059881389,
6492,6492,37.4095970232,-122.065191796,
6493,6493,37.4054284276,-122.067935545,
6494,6494,37.2532569364,-121.798435134,
6497,6497,37.248409469,-121.789762649,
6509,6509,37.3957926558,-122.054272056,
6511,6511,37.3936604533,-122.051395498,
6513,6513,37.3930678515,-122.04161978,
6515,6515,37.3829377247,-122.045092185,
6516,6516,37.3919072046,-122.071956626,
6518,6518,37.3249401482,-121.782486631,
6520,6520,37.3317301427,-121.782862411,
6522,6522,37.403212635,-122.069273623,
6527,6527,37.3765524882,-122.063797796,
