taz,stop_id,dist,elevation_gain,population_density,employment_density,auto_capacity,indirectness
802,30718,0.49,8.74368,14.1335503685,251.751902831,2065.11627907,1.12344822238
851,54038,0.55,0.0,17.5873968469,36.6417623541,3065.2173913,1.11827302851
694,23597,0.43,0.0,39.1292370197,112.836822751,2758.06451613,1.25136658804
145,27307,0.46,0.0,21.7219929121,5.35217799339,595.0,1.87481739639
669,24192,0.88,0.0,36.3388072213,41.2917053985,3267.22039017,1.37098310645
558,23643,0.36,0.0,11.0048278471,11.9875833227,600.0,1.18384646557
824,27011,0.27,0.0,47.3526626707,7.57143004593,600.0,1.13564296825
678,24333,0.5,0.0,103.593890883,49.7608759794,2012.91472443,1.28138228697
569,23861,0.43,0.0,1.97764875033,43.6293570861,600.0,1.0
849,26704,0.4,0.0,27.9480851238,24.2596312496,1944.82758621,1.27131484021
791,24564,0.29,0.0,1.20348587173,823.164503018,2709.375,1.33070214381
2057,15067,0.16,0.0,23.2701644462,4.7322081183,5700.0,1.46783073346
357,24613,0.96,15.934512,51.0468308472,503.135298583,2977.77881945,1.17997597826
620,24923,0.3,19.263552,112.415522166,94.4425751558,2070.50074368,1.16921566226
308,25153,0.12,0.0,259.541218623,28.7703266325,0.0,1.06713409453
226,27156,0.47,0.0,11.9084951911,5.74220582598,2022.72727273,1.54555582282
946,15600,0.32,0.0,2.81266526184,638.995447069,1482.53068933,1.16562160002
271,27837,0.45,66.3696,37.1449535663,6.1492005648,700.0,1.18629613559
776,24551,0.2,0.0,0.0259859829911,463.204959846,633.704735376,1.178958101
454,21915,0.92,40.22304,44.862245437,13.2291774909,706.18841151,1.18060743488
428,20215,0.31,92.162928,26.1303654832,6.38870272663,578.260869565,1.48362529194
368,25553,0.07,0.0,65.8119783957,15.4416969689,0.0,1.09167510008
381,24696,0.84,46.386384,76.8804253132,79.1348548097,2368.97807876,1.06039409697
807,30049,0.17,0.0,0.197048678822,1477.09108614,1909.95218503,1.56682283475
564,26005,0.17,54.670176,31.5910815212,10.21076341,1650.0,1.5
