route_id,agency
BART PRE-TEST_19th St. Oakland                            Coliseum/Oakland Airport,BART
BART PRE-TEST_19th St. Oakland                            Concord,BART
BART PRE-TEST_19th St. Oakland                            Daly City,BART
BART PRE-TEST_19th St. Oakland                            Downtown Berkeley,BART
BART PRE-TEST_19th St. Oakland                            Dublin/Pleasanton,BART
BART PRE-TEST_19th St. Oakland                            El Cerrito Plaza,BART
BART PRE-TEST_19th St. Oakland                            El Cerrito del Norte,BART
BART PRE-TEST_19th St. Oakland                            Embarcadero (SF),BART
BART PRE-TEST_19th St. Oakland                            Fremont,BART
BART PRE-TEST_19th St. Oakland                            Fruitvale (Oakland),BART
BART PRE-TEST_19th St. Oakland                            Glen Park (SF),BART
BART PRE-TEST_19th St. Oakland                            Lafayette,BART
BART PRE-TEST_19th St. Oakland                            Lake Merritt (Oakland),BART
BART PRE-TEST_19th St. Oakland                            Montgomery St. (SF),BART
BART PRE-TEST_19th St. Oakland                            North Berkeley,BART
BART PRE-TEST_19th St. Oakland                            Pittsburg/Bay Point,BART
BART PRE-TEST_19th St. Oakland                            Pleasant Hill/Contra Costa Centre,BART
BART PRE-TEST_19th St. Oakland                            Powell St. (SF),BART
BART PRE-TEST_19th St. Oakland                            Richmond,BART
BART PRE-TEST_19th St. Oakland                            San Francisco International Airport,BART
BART PRE-TEST_19th St. Oakland                            San Leandro,BART
BART PRE-TEST_19th St. Oakland                            Union City,BART
BART PRE-TEST_24th St. Mission (SF)                       19th St. Oakland,BART
BART PRE-TEST_24th St. Mission (SF)                       Ashby (Berkeley),BART
BART PRE-TEST_24th St. Mission (SF)                       Balboa Park (SF),BART
BART PRE-TEST_24th St. Mission (SF)                       Bay Fair (San Leandro),BART
BART PRE-TEST_24th St. Mission (SF)                       Civic Center/UN Plaza (SF),BART
BART PRE-TEST_24th St. Mission (SF)                       Colma,BART
BART PRE-TEST_24th St. Mission (SF)                       Concord,BART
BART PRE-TEST_24th St. Mission (SF)                       Embarcadero (SF),BART
BART PRE-TEST_24th St. Mission (SF)                       Fremont,BART
BART PRE-TEST_24th St. Mission (SF)                       MacArthur (Oakland),BART
BART PRE-TEST_24th St. Mission (SF)                       Millbrae,BART
BART PRE-TEST_24th St. Mission (SF)                       North Berkeley,BART
BART PRE-TEST_24th St. Mission (SF)                       North Concord/Martinez,BART
BART PRE-TEST_Ashby (Berkeley)                            Balboa Park (SF),BART
BART PRE-TEST_Ashby (Berkeley)                            Civic Center/UN Plaza (SF),BART
BART PRE-TEST_Ashby (Berkeley)                            Downtown Berkeley,BART
BART PRE-TEST_Ashby (Berkeley)                            El Cerrito del Norte,BART
BART PRE-TEST_Ashby (Berkeley)                            Embarcadero (SF),BART
BART PRE-TEST_Ashby (Berkeley)                            Fremont,BART
BART PRE-TEST_Ashby (Berkeley)                            Fruitvale (Oakland),BART
BART PRE-TEST_Ashby (Berkeley)                            North Berkeley,BART
BART PRE-TEST_Ashby (Berkeley)                            Powell St. (SF),BART
BART PRE-TEST_Ashby (Berkeley)                            San Francisco International Airport,BART
BART PRE-TEST_Ashby (Berkeley)                            San Leandro,BART
BART PRE-TEST_Ashby (Berkeley)                            Union City,BART
BART PRE-TEST_Ashby (Berkeley)                            Walnut Creek,BART
BART PRE-TEST_Balboa Park (SF)                            19th St. Oakland,BART
BART PRE-TEST_Balboa Park (SF)                            Ashby (Berkeley),BART
BART PRE-TEST_Balboa Park (SF)                            Civic Center/UN Plaza (SF),BART
BART PRE-TEST_Balboa Park (SF)                            Coliseum/Oakland Airport,BART
