OBS_route_id,OBS_agency,GTFS1.8_route_id,GTFS1.8_agency,
AC Transit_H,AC Transit,ac_transit_H,ac_transit,
AC Transit_J,AC Transit,ac_transit_J,ac_transit,
AC Transit_L,AC Transit,ac_transit_L,ac_transit,
AC Transit_LA,AC Transit,ac_transit_LA,ac_transit,
AC Transit_M,AC Transit,ac_transit_M,ac_transit,MULT
AC Transit_M,AC Transit,ac_transit_M.1,ac_transit,MULT
AC Transit_M,AC Transit,ac_transit_M.2,ac_transit,MULT
,AC Transit,ac_transit_MA,ac_transit,
,AC Transit,ac_transit_MMID,ac_transit,
AC Transit_NL,AC Transit,ac_transit_NL,ac_transit,
AC Transit_NX,AC Transit,ac_transit_NX,ac_transit,
AC Transit_NX1,AC Transit,ac_transit_NX1,ac_transit,
AC Transit_NX2,AC Transit,ac_transit_NX2,ac_transit,
AC Transit_NX3,AC Transit,ac_transit_NX3,ac_transit,
AC Transit_NX4,AC Transit,ac_transit_NX4.1,ac_transit,MULT
AC Transit_NX4,AC Transit,ac_transit_NX4.2,ac_transit,MULT
AC Transit_NXC,AC Transit,,ac_transit,
AC Transit_O,AC Transit,ac_transit_O,ac_transit,MULT
AC Transit_O,AC Transit,ac_transit_O.1,ac_transit,MULT
AC Transit_O,AC Transit,ac_transit_O.2,ac_transit,MULT
AC Transit_OX,AC Transit,ac_transit_OX,ac_transit,
AC Transit_P,AC Transit,ac_transit_P,ac_transit,
,AC Transit,ac_transit_Q,ac_transit,
AC Transit_S,AC Transit,ac_transit_S,ac_transit,
,AC Transit,ac_transit_SA,ac_transit,
AC Transit_SB,AC Transit,ac_transit_SB,ac_transit,
AC Transit_U,AC Transit,ac_transit_U,ac_transit,
AC Transit_V,AC Transit,ac_transit_V,ac_transit,
AC Transit_W,AC Transit,ac_transit_W,ac_transit,
AC Transit_Z,AC Transit,ac_transit_Z,ac_transit,
ACE,ACE,ace_ACE_,ace,MULT
ACE_ACE,ACE,ace_ACE_,ace,MULT
AIR BART,AIR BART,airbart_AIRBRT,airbart,
AMTRAK,AMTRAK,amtrak_CAP1,amtrak,MULT
AMTRAK,AMTRAK,amtrak_CAP2,amtrak,MULT
AMTRAK,AMTRAK,amtrak_SJQ,amtrak,MULT
BART,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                16th St. Mission (SF),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                19th St. Oakland,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Ashby (Berkeley),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Bay Fair (San Leandro),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Civic Center/UN Plaza (SF),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Coliseum/Oakland Airport,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Concord,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Daly City,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Downtown Berkeley,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                El Cerrito Plaza,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                El Cerrito del Norte,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Embarcadero (SF),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Fremont,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Fruitvale (Oakland),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Hayward,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Lafayette,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Lake Merritt (Oakland),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                MacArthur (Oakland),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Millbrae,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Montgomery St. (SF),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                North Berkeley,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                North Concord/Martinez,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Pleasant Hill/Contra Costa Centre,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Powell St. (SF),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Richmond,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Rockridge (Oakland),BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                San Francisco International Airport,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                San Leandro,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                South Hayward,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                South San Francisco,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Union City,BART,,bart,
BART PRE-TEST_12th St. Oakland City Center                Walnut Creek,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       19th St. Oakland,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Balboa Park (SF),BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Downtown Berkeley,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Glen Park (SF),BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Millbrae,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Rockridge (Oakland),BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       San Francisco International Airport,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       San Leandro,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Union City,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       Walnut Creek,BART,,bart,
BART PRE-TEST_16th St. Mission (SF)                       West Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_19th St. Oakland                            Bay Fair (San Leandro),BART,,bart,
BART PRE-TEST_19th St. Oakland                            Castro Valley,BART,,bart,
