trip_list_id_num,person_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,time_target,vot
10103,45868,1871,735,walk-transit-walk,work,14:57:00,14:57:00,departure,10.22
10104,45873,1874,800,walk-transit-walk,other,11:56:00,11:56:00,departure,40.26
10105,45885,1733,339,walk-transit-walk,work,5:52:00,5:52:00,departure,30.05
10106,45887,138,745,walk-transit-walk,work,14:47:00,14:47:00,departure,21.03
10107,45895,1874,2122,walk-transit-walk,other,,,departure,28.19
10108,45898,1925,144,walk-transit-walk,work,14:49:00,14:49:00,departure,1
10109,45905,1968,1778,walk-transit-walk,college,20:20:00,20:20:00,departure,1
10110,45906,1927,1970,walk-transit-walk,other,14:09:00,14:09:00,departure,1
10111,45908,2152,2145,walk-transit-walk,work,14:54:00,14:54:00,departure,1
10112,45912,1946,1856,walk-transit-walk,other,11:55:00,11:55:00,departure,1
10113,45915,2014,1944,walk-transit-walk,work,9:29:00,9:29:00,departure,36.06
10114,45925,158,1945,walk-transit-walk,work,5:49:00,5:49:00,departure,30.05
10115,45927,1976,129,walk-transit-walk,other,8:44:00,8:44:00,departure,1
10116,45929,1733,1870,walk-transit-walk,work,4:28:00,4:28:00,departure,14.42
10117,45939,1966,2010,walk-transit-walk,other,11:01:00,11:01:00,departure,1
10118,45940,1926,1778,walk-transit-walk,work_based,14:35:00,14:35:00,departure,1
10119,45942,1874,806,walk-transit-walk,other,12:13:00,12:13:00,departure,20.13
10120,45944,1969,1874,walk-transit-walk,work,20:57:00,20:57:00,departure,30.05
10121,45945,1916,748,walk-transit-walk,college,10:19:00,10:19:00,departure,1
10122,45947,1874,1895,walk-transit-walk,other,11:50:00,11:50:00,departure,1
10123,45952,1733,1895,walk-transit-walk,work,4:46:00,4:46:00,departure,1
10124,45968,1874,1969,walk-transit-walk,other,,,departure,24.16
10125,45976,1840,655,walk-transit-walk,other,14:49:00,14:49:00,departure,5.03
10126,45979,1848,1895,walk-transit-walk,other,11:40:00,11:40:00,departure,1
10127,45980,1972,818,walk-transit-walk,other,,,departure,1
10128,45982,1874,1946,walk-transit-walk,work_based,,,departure,9.66
10129,45983,1778,655,walk-transit-walk,other,14:59:00,14:59:00,departure,1
10130,45986,189,1995,walk-transit-walk,work,6:25:00,6:25:00,departure,30.05
10131,45997,1972,2115,walk-transit-walk,work,5:33:00,5:33:00,departure,30.05
10132,45999,1945,2010,walk-transit-walk,work_based,7:00:00,7:00:00,departure,20.13
10133,46001,1847,2051,walk-transit-walk,other,12:16:00,12:16:00,departure,1
10134,46002,1971,2111,walk-transit-walk,work,5:18:00,5:18:00,departure,20.03
10135,46004,1946,773,walk-transit-walk,work,,,departure,1
10136,46006,1915,1971,walk-transit-walk,work,5:42:00,5:42:00,departure,15.02
10137,46018,1926,1871,walk-transit-walk,other,13:54:00,13:54:00,departure,1
10138,46021,1874,740,walk-transit-walk,other,,,departure,20.13
10139,46032,932,2037,walk-transit-walk,other,11:35:00,11:35:00,departure,1
10140,46035,1871,300,walk-transit-walk,other,15:21:00,15:21:00,departure,6.84
10141,46037,1971,1806,walk-transit-walk,work,7:45:00,7:45:00,departure,1
10142,46046,1742,129,walk-transit-walk,work,6:35:00,6:35:00,departure,15.02
10143,46048,2005,403,walk-transit-walk,work,4:47:00,4:47:00,departure,30.05
10144,46052,1848,1969,walk-transit-walk,work,10:55:00,10:55:00,departure,14.02
10145,46056,1733,808,walk-transit-walk,work,5:43:00,5:43:00,departure,1
10146,46057,1945,2040,walk-transit-walk,work,6:39:00,6:39:00,departure,21.03
10147,46070,1863,299,walk-transit-walk,work,7:15:00,7:15:00,departure,15.02
10148,46072,1945,1977,walk-transit-walk,other,15:43:00,15:43:00,departure,13.69
10149,46081,1925,2013,walk-transit-walk,high_school,6:47:00,6:47:00,departure,1
10150,46085,1998,745,walk-transit-walk,other,15:55:00,15:55:00,departure,6.71
10151,46090,150,2002,walk-transit-walk,work,6:02:00,6:02:00,departure,15.02
10152,46092,1971,170,walk-transit-walk,work,6:27:00,6:27:00,departure,21.03
10153,46093,1999,748,walk-transit-walk,other,15:47:00,15:47:00,departure,1
10154,46096,1870,2049,walk-transit-walk,work,7:42:00,7:42:00,departure,15.02
10155,46097,1968,1238,walk-transit-walk,work,7:59:00,7:59:00,departure,1
10156,46100,810,1968,walk-transit-walk,work,6:47:00,6:47:00,departure,14.42
10157,46106,1971,2116,walk-transit-walk,work,6:59:00,6:59:00,departure,30.05
10158,46107,1915,632,walk-transit-walk,other,15:36:00,15:36:00,departure,10.07
10159,46111,1873,2136,walk-transit-walk,work,5:28:00,5:28:00,departure,10.22
10160,46115,1927,2056,walk-transit-walk,work,15:25:00,15:25:00,departure,1
10161,46123,1847,1895,walk-transit-walk,other,11:57:00,11:57:00,departure,1
10162,46129,1733,1946,walk-transit-walk,work,5:22:00,5:22:00,departure,1
10163,46136,1874,703,walk-transit-walk,other,,,departure,5.64
10164,46140,1968,1778,walk-transit-walk,work,7:35:00,7:35:00,departure,20.43
10165,46150,1737,749,walk-transit-walk,work,5:52:00,5:52:00,departure,50
10166,46152,1926,1871,walk-transit-walk,work,7:31:00,7:31:00,departure,1
10167,46156,783,1995,walk-transit-walk,work,7:43:00,7:43:00,departure,36.06
10168,46157,1970,1925,walk-transit-walk,work,6:52:00,6:52:00,departure,15.02
10169,46159,1874,65,walk-transit-walk,other,,,departure,20.13
10170,46161,221,1926,walk-transit-walk,work,7:29:00,7:29:00,departure,3.41
10171,46173,1968,357,walk-transit-walk,work,16:57:00,16:57:00,departure,15.02
10172,46180,1847,1944,walk-transit-walk,work,6:11:00,6:11:00,departure,10.22
10173,46184,776,2152,walk-transit-walk,work,7:20:00,7:20:00,departure,15.02
10174,46188,1979,2002,walk-transit-walk,work,7:46:00,7:46:00,departure,30.05
10175,46189,1946,1863,walk-transit-walk,college,8:14:00,8:14:00,departure,6.84
10176,46198,2002,748,walk-transit-walk,other,16:20:00,16:20:00,departure,1
10177,46207,1946,2021,walk-transit-walk,college,,,departure,1
10178,46209,1925,2003,walk-transit-walk,work,16:26:00,16:26:00,departure,30.05
10179,46210,1874,684,walk-transit-walk,other,11:18:00,11:18:00,departure,16.11
10180,46212,1926,1968,walk-transit-walk,work,7:52:00,7:52:00,departure,1
10181,46214,1976,1971,walk-transit-walk,other,15:58:00,15:58:00,departure,24.16
10182,46225,1968,1806,walk-transit-walk,work,16:28:00,16:28:00,departure,10.02
10183,46227,205,2025,walk-transit-walk,work,6:50:00,6:50:00,departure,15.02
10184,46250,1863,1890,walk-transit-walk,other,10:33:00,10:33:00,departure,1
10185,46252,1948,165,walk-transit-walk,work,6:57:00,6:57:00,departure,1
10186,46268,684,1989,walk-transit-walk,other,16:03:00,16:03:00,departure,6.84
10187,46269,1874,735,walk-transit-walk,other,,,departure,20.13
10188,46274,1733,591,walk-transit-walk,work,6:28:00,6:28:00,departure,1
10189,46276,1848,742,walk-transit-walk,work,6:32:00,6:32:00,departure,30.05
10190,46277,204,1977,walk-transit-walk,work,7:23:00,7:23:00,departure,20.43
10191,46279,1926,1239,walk-transit-walk,other,16:12:00,16:12:00,departure,6.84
10192,46294,1926,1778,walk-transit-walk,other,16:10:00,16:10:00,departure,1
10193,46297,1945,1855,walk-transit-walk,work,6:50:00,6:50:00,departure,20.03
10194,46298,1968,157,walk-transit-walk,work,7:13:00,7:13:00,departure,1
10195,46304,1970,1975,walk-transit-walk,work,7:43:00,7:43:00,departure,36.06
10196,46306,1971,1856,walk-transit-walk,work,7:19:00,7:19:00,departure,14.02
