agency_id,route_id
caltrain_shuttle,caltrain_shuttle_CTNA_EMP
caltrain_shuttle,caltrain_shuttle_CTNA_EMP_
caltrain_shuttle,caltrain_shuttle_CTNA_RES
caltrain_shuttle,caltrain_shuttle_CTNA_RES_
caltrain_shuttle,caltrain_shuttle_CTNB_
caltrain_shuttle,caltrain_shuttle_CTNF
caltrain_shuttle,caltrain_shuttle_CTNF_
caltrain_shuttle,caltrain_shuttle_CTOP
caltrain_shuttle,caltrain_shuttle_CTOR
caltrain_shuttle,caltrain_shuttle_CTOR_
caltrain_shuttle,caltrain_shuttle_CTPS
caltrain_shuttle,caltrain_shuttle_CTRS
caltrain_shuttle,caltrain_shuttle_CTRS_CLIP
caltrain_shuttle,caltrain_shuttle_CTSH
caltrain_shuttle,caltrain_shuttle_CTSP
caltrain_shuttle,caltrain_shuttle_CTUG
caltrain_shuttle,caltrain_shuttle_CTVA
caltrain_shuttle,caltrain_shuttle_CTWR
caltrain_shuttle,caltrain_shuttle_CTWR_
caltrain_shuttle,caltrain_shuttle_CTWR_EXP
caltrain_shuttle,caltrain_shuttle_CTWR_EXP_
cccta,cccta_101
cccta,cccta_101MD
cccta,cccta_102A
cccta,cccta_102CC
cccta,cccta_104
cccta,cccta_105CC
cccta,cccta_106A
cccta,cccta_106AM
cccta,cccta_106MD
cccta,cccta_107CC
cccta,cccta_108CC
cccta,cccta_109CC
cccta,cccta_110C
cccta,cccta_110K
cccta,cccta_110P
cccta,cccta_111A
cccta,cccta_111B
cccta,cccta_114AM
cccta,cccta_114MD
cccta,cccta_115CC
cccta,cccta_116CC
cccta,cccta_117CC
cccta,cccta_118CC
cccta,cccta_119
cccta,cccta_121CC
cccta,cccta_124CC
cccta,cccta_127CC
cccta,cccta_206A
cccta,cccta_206A1
cccta,cccta_206A2
cccta,cccta_206L
cccta,cccta_221CC
cccta,cccta_259SR
cccta,cccta_920
cccta,cccta_920A
cccta,cccta_930
cccta,cccta_960BNB1CC
cccta,cccta_960BNB2CC
cccta,cccta_960BNB3CC
cccta,cccta_960BNBMD
cccta,cccta_960BSB1CC
cccta,cccta_960BSB2CC
cccta,cccta_960BSBMD
cccta,cccta_960CNB1CC
cccta,cccta_960CNB2CC
cccta,cccta_960CNB3CC
cccta,cccta_960CSB1CC
cccta,cccta_960CSB2CC
cccta,cccta_960CSB3CC
cccta,cccta_970B.1
cccta,cccta_970B.2
cccta,cccta_970B.3
cccta,cccta_970C
cccta,cccta_991
fast,fast_1
fast,fast_2
fast,fast_220
fast,fast_3
fast,fast_30EBOP
fast,fast_30EBP
fast,fast_30WBOP
fast,fast_30WBP
fast,fast_4
fast,fast_40
fast,fast_40NB1
fast,fast_40SB1
fast,fast_5
fast,fast_6
fast,fast_6EBEXP
fast,fast_7
ferry,ferry_FBFWVAL
ferry,ferry_FBHB
ferry,ferry_FBOAKALA
ferry,ferry_FBSAU
ferry,ferry_FBTIB
ferry,ferry_FWSAU
ferry,ferry_FWTIB
ferry,ferry_HBFB
ferry,ferry_LARKN
ferry,ferry_LARKS
ferry,ferry_OAKALAFB
ferry,ferry_OAKOP
ferry,ferry_OPOAK
ferry,ferry_SAUFB
ferry,ferry_SAUFW
ferry,ferry_TIBFB
ferry,ferry_TIBFW
ferry,ferry_VALFB
golden_gate_transit,golden_gate_transit_GG10
golden_gate_transit,golden_gate_transit_GG10NBX
golden_gate_transit,golden_gate_transit_GG10SBX
golden_gate_transit,golden_gate_transit_GG15
golden_gate_transit,golden_gate_transit_GG18
golden_gate_transit,golden_gate_transit_GG2
golden_gate_transit,golden_gate_transit_GG21
golden_gate_transit,golden_gate_transit_GG22
golden_gate_transit,golden_gate_transit_GG22A
golden_gate_transit,golden_gate_transit_GG23A
golden_gate_transit,golden_gate_transit_GG23B
golden_gate_transit,golden_gate_transit_GG23C
golden_gate_transit,golden_gate_transit_GG23D
golden_gate_transit,golden_gate_transit_GG24NBA
golden_gate_transit,golden_gate_transit_GG24NBB
golden_gate_transit,golden_gate_transit_GG24SBA
golden_gate_transit,golden_gate_transit_GG24SBB
golden_gate_transit,golden_gate_transit_GG26
golden_gate_transit,golden_gate_transit_GG27
golden_gate_transit,golden_gate_transit_GG29
golden_gate_transit,golden_gate_transit_GG32
golden_gate_transit,golden_gate_transit_GG33
golden_gate_transit,golden_gate_transit_GG34
golden_gate_transit,golden_gate_transit_GG35
golden_gate_transit,golden_gate_transit_GG36
golden_gate_transit,golden_gate_transit_GG38
golden_gate_transit,golden_gate_transit_GG4
golden_gate_transit,golden_gate_transit_GG40
golden_gate_transit,golden_gate_transit_GG42
golden_gate_transit,golden_gate_transit_GG44
golden_gate_transit,golden_gate_transit_GG53
golden_gate_transit,golden_gate_transit_GG54
golden_gate_transit,golden_gate_transit_GG55
golden_gate_transit,golden_gate_transit_GG56
golden_gate_transit,golden_gate_transit_GG57
golden_gate_transit,golden_gate_transit_GG58
golden_gate_transit,golden_gate_transit_GG59
golden_gate_transit,golden_gate_transit_GG60
golden_gate_transit,golden_gate_transit_GG63
golden_gate_transit,golden_gate_transit_GG70
golden_gate_transit,golden_gate_transit_GG70NBX
golden_gate_transit,golden_gate_transit_GG70SBX
golden_gate_transit,golden_gate_transit_GG72
golden_gate_transit,golden_gate_transit_GG72NBA
golden_gate_transit,golden_gate_transit_GG72SBA
golden_gate_transit,golden_gate_transit_GG72SBB
golden_gate_transit,golden_gate_transit_GG72X
golden_gate_transit,golden_gate_transit_GG74
golden_gate_transit,golden_gate_transit_GG75
golden_gate_transit,golden_gate_transit_GG76
golden_gate_transit,golden_gate_transit_GG8
golden_gate_transit,golden_gate_transit_GG80
golden_gate_transit,golden_gate_transit_GG9
golden_gate_transit,golden_gate_transit_GG93
golden_gate_transit,golden_gate_transit_GG97
lavta,lavta_12
lavta,lavta_12EBX
lavta,lavta_12WBX
lavta,lavta_54
lavta,lavta_70Wnt/
lavta,lavta_Intel/
lavta,lavta_Lk/Sny/
lavta,lavta_W10
lavta,lavta_W10A
lavta,lavta_W11nb
lavta,lavta_W11sb
lavta,lavta_W14
lavta,lavta_W15nb
lavta,lavta_W15sb
lavta,lavta_W18Aeb
lavta,lavta_W18Awb
lavta,lavta_W18Beb
lavta,lavta_W18Bwb
lavta,lavta_W1A
lavta,lavta_W1B
lavta,lavta_W20X
lavta,lavta_W20XR
lavta,lavta_W3A
lavta,lavta_W3P
lavta,lavta_W7
lavta,lavta_W8
petaluma,petaluma_1CheryVal
petaluma,petaluma_2NorthMcD
petaluma,petaluma_2SouthMcD
petaluma,petaluma_3Ely
presidigo,presidigo_CFR
presidigo,presidigo_DTNIB
presidigo,presidigo_DTNOB
presidigo,presidigo_PHR
samtrans,samtrans_110
samtrans,samtrans_110A
samtrans,samtrans_112
samtrans,samtrans_120
samtrans,samtrans_121
samtrans,samtrans_122
samtrans,samtrans_123A
samtrans,samtrans_123B
samtrans,samtrans_130
samtrans,samtrans_132
samtrans,samtrans_133
samtrans,samtrans_140
samtrans,samtrans_141
samtrans,samtrans_14CCW
samtrans,samtrans_14CW
samtrans,samtrans_16A
samtrans,samtrans_16B
samtrans,samtrans_16C
samtrans,samtrans_16D
samtrans,samtrans_16E
samtrans,samtrans_17
samtrans,samtrans_250E
samtrans,samtrans_250W
samtrans,samtrans_251
samtrans,samtrans_260
samtrans,samtrans_260A
samtrans,samtrans_262
samtrans,samtrans_270n
samtrans,samtrans_270s
samtrans,samtrans_271
samtrans,samtrans_274
samtrans,samtrans_280
samtrans,samtrans_281
samtrans,samtrans_292N
samtrans,samtrans_292NA
samtrans,samtrans_292S
samtrans,samtrans_292SA
samtrans,samtrans_294
samtrans,samtrans_295
samtrans,samtrans_295A
samtrans,samtrans_296
samtrans,samtrans_296NBA
samtrans,samtrans_296NBC
samtrans,samtrans_296NBD
samtrans,samtrans_297
samtrans,samtrans_390
samtrans,samtrans_391
samtrans,samtrans_391NA
samtrans,samtrans_391NC
samtrans,samtrans_391SA
samtrans,samtrans_391SC
samtrans,samtrans_397
samtrans,samtrans_53A
samtrans,samtrans_53B
samtrans,samtrans_54A
samtrans,samtrans_54B
samtrans,samtrans_54C
samtrans,samtrans_55
samtrans,samtrans_58A
samtrans,samtrans_58B
samtrans,samtrans_72
samtrans,samtrans_72A
samtrans,samtrans_73
samtrans,samtrans_83A
samtrans,samtrans_83AR
samtrans,samtrans_83B
samtrans,samtrans_83BR
samtrans,samtrans_83C
samtrans,samtrans_83D
samtrans,samtrans_85A
samtrans,samtrans_85B
samtrans,samtrans_85C
samtrans,samtrans_KXN
samtrans,samtrans_KXS
santa_rosa,santa_rosa_10PinerRd
santa_rosa,santa_rosa_11FL
santa_rosa,santa_rosa_12RV
santa_rosa,santa_rosa_14MN
santa_rosa,santa_rosa_15
santa_rosa,santa_rosa_16
santa_rosa,santa_rosa_16e
santa_rosa,santa_rosa_16w
santa_rosa,santa_rosa_17
santa_rosa,santa_rosa_18
santa_rosa,santa_rosa_1CH
santa_rosa,santa_rosa_2BV
santa_rosa,santa_rosa_3W9
santa_rosa,santa_rosa_4R
santa_rosa,santa_rosa_5SothPark
santa_rosa,santa_rosa_6W3
santa_rosa,santa_rosa_8nMAY
santa_rosa,santa_rosa_8sMAY
santa_rosa,santa_rosa_9EBCRP
santa_rosa,santa_rosa_9WBCRP
scvta,scvta_101
scvta,scvta_102
scvta,scvta_103
scvta,scvta_104
scvta,scvta_120
scvta,scvta_121
scvta,scvta_122
scvta,scvta_13
scvta,scvta_140
scvta,scvta_140A
scvta,scvta_15
scvta,scvta_15A
scvta,scvta_16
scvta,scvta_17
scvta,scvta_180VTN
scvta,scvta_180VTS
scvta,scvta_182
scvta,scvta_19
scvta,scvta_19SBA
scvta,scvta_22AVTA_
scvta,scvta_22B
scvta,scvta_22C
scvta,scvta_22D
scvta,scvta_23
scvta,scvta_23A
scvta,scvta_25
scvta,scvta_25A
scvta,scvta_26
scvta,scvta_27
scvta,scvta_304
scvta,scvta_305
scvta,scvta_31
scvta,scvta_32
scvta,scvta_321
scvta,scvta_328
scvta,scvta_33
scvta,scvta_330
scvta,scvta_34
scvta,scvta_34A
scvta,scvta_35
scvta,scvta_36
scvta,scvta_36A
scvta,scvta_37
scvta,scvta_38
scvta,scvta_39
scvta,scvta_40
scvta,scvta_44
scvta,scvta_45
scvta,scvta_46
scvta,scvta_47
scvta,scvta_51
scvta,scvta_52
scvta,scvta_522
scvta,scvta_53
scvta,scvta_53MD
scvta,scvta_54N
scvta,scvta_54S
scvta,scvta_55
scvta,scvta_57
scvta,scvta_58
scvta,scvta_59
scvta,scvta_59MD
scvta,scvta_60N
scvta,scvta_60S
scvta,scvta_62A
scvta,scvta_62B
scvta,scvta_63
scvta,scvta_64A
scvta,scvta_64B
scvta,scvta_64C
scvta,scvta_65
scvta,scvta_66
scvta,scvta_66A
scvta,scvta_67
scvta,scvta_68NBA
scvta,scvta_68NBB
scvta,scvta_68SBA
scvta,scvta_68SBB
scvta,scvta_70
scvta,scvta_71
scvta,scvta_72
scvta,scvta_72A
scvta,scvta_73
scvta,scvta_76
scvta,scvta_77
scvta,scvta_77NBA
scvta,scvta_77SBA
scvta,scvta_81A
scvta,scvta_81B
scvta,scvta_81C
scvta,scvta_82
scvta,scvta_85
scvta,scvta_88
scvta,scvta_88AM2
scvta,scvta_88MD
scvta,scvta_88PM2
scvta,scvta_DB
scvta,scvta_DB1
scvta,scvta_DBMD
scvta,scvta_SCLRT1
scvta,scvta_SCLRT2
scvta,scvta_SCLRT3
scvta,scvta_SCLRT3A
scvta,scvta_SCLRT3B
sf_muni,sf_muni_1
sf_muni,sf_muni_10
sf_muni,sf_muni_108
sf_muni,sf_muni_12
sf_muni,sf_muni_14
sf_muni,sf_muni_14L
sf_muni,sf_muni_14SHORT
sf_muni,sf_muni_14X
sf_muni,sf_muni_16X
sf_muni,sf_muni_17
sf_muni,sf_muni_18
sf_muni,sf_muni_19
sf_muni,sf_muni_1AX
sf_muni,sf_muni_1BX
sf_muni,sf_muni_1SHORT
sf_muni,sf_muni_2
sf_muni,sf_muni_21
sf_muni,sf_muni_22
sf_muni,sf_muni_23
sf_muni,sf_muni_24
sf_muni,sf_muni_24EA
sf_muni,sf_muni_27
sf_muni,sf_muni_28
sf_muni,sf_muni_28L
sf_muni,sf_muni_29
sf_muni,sf_muni_3
sf_muni,sf_muni_30
sf_muni,sf_muni_30SHORT
sf_muni,sf_muni_30X
sf_muni,sf_muni_31
sf_muni,sf_muni_31AX
sf_muni,sf_muni_31BX
sf_muni,sf_muni_33
sf_muni,sf_muni_35
sf_muni,sf_muni_36
sf_muni,sf_muni_37
sf_muni,sf_muni_38AX
sf_muni,sf_muni_38BX
sf_muni,sf_muni_38FTM
sf_muni,sf_muni_38L
sf_muni,sf_muni_38PTL
sf_muni,sf_muni_38_33RD
sf_muni,sf_muni_39
sf_muni,sf_muni_41
sf_muni,sf_muni_43
sf_muni,sf_muni_44
sf_muni,sf_muni_45
sf_muni,sf_muni_47
sf_muni,sf_muni_48
sf_muni,sf_muni_49
sf_muni,sf_muni_5
sf_muni,sf_muni_52
sf_muni,sf_muni_54
sf_muni,sf_muni_56
sf_muni,sf_muni_59
sf_muni,sf_muni_5EA
sf_muni,sf_muni_5SHORT
sf_muni,sf_muni_6
sf_muni,sf_muni_60
sf_muni,sf_muni_61
sf_muni,sf_muni_66
sf_muni,sf_muni_67
sf_muni,sf_muni_71
sf_muni,sf_muni_71L
sf_muni,sf_muni_80X
sf_muni,sf_muni_81X
sf_muni,sf_muni_82X
