stop_id,stop_name,stop_lat,stop_lon,zone_id
26187,Market,37.75940734511631,-122.44494766185262,
27308,15th/Ortega,37.75256980607395,-122.47200756951459,
27309,Pacheco/16th,37.75065153975099,-122.47300269473912,
5466,5466,37.31717308897322,-121.8337346849232,
5467,5467,37.31519271947205,-121.83674455345637,
5471,5471,37.322908251507506,-121.87212098180862,
32830,Ashbury/Clifford,37.76418782455554,-122.44607365496266,
32831,Wilde/Rutland/Goettingen,37.71677471586586,-122.40392802305918,
5472,5472,37.320149455018985,-121.87773744445596,
32852,Unnamed #136/Unnamed #135/Concourse,37.76920675392401,-122.46801746698053,
32854,South Tea Garden/Concourse,37.77017245235265,-122.46929329488141,
5477,5477,37.311341951141046,-121.86907770911274,
27323,15th/Noriega,37.75438883847747,-122.47212432185997,
24008,Bryant/20th,37.75919401100328,-122.4097701393259,
5478,5478,37.30369132441072,-121.85427562388294,
27324,Noriega/16th,37.755548578439964,-122.47334351940249,
5479,5479,37.305450469100585,-121.85164240384267,
5480,5480,37.30806450683032,-121.84794661076397,
32888,14th/Santiago,37.7451590038357,-122.47036530016109,
32890,39th/Skyline/Sloat,37.73377085136393,-122.4966359967457,
32891,36th/Sloat,37.73400852922702,-122.49334546158472,
32893,Sloat,37.733836423735816,-122.49333776677912,
32894,Sloat,37.73378842242155,-122.49437568099526,
32896,Sunset,37.733127593460864,-122.4938815675644,
32898,Sunset,37.73311538413009,-122.49372324262505,
32904,Great/Sloat,37.73546974938155,-122.50671744017056,
32906,Warren,37.75362842794408,-122.45775934782972,
21869,Miguel/Whitney/Chenery,37.737213747283754,-122.42770735606717,
103790,103790,37.809412322844054,-122.31536174865171,
32919,Corbett,37.759483530158626,-122.44586388595684,
32921,Danvers/18th,37.760376319911344,-122.44337443404122,
32936,Corbett/Corbin,37.76172361313038,-122.44287938853194,
5490,5490,37.29442893166569,-121.87341507357365,
5493,5493,37.33472353756271,-121.85695378380181,
32961,Aquavista/Skyview,37.75113486113874,-122.45002019231188,
22920,San Lorenzo/Portola,37.73992074690141,-122.46405169718578,
27340,22nd/Noriega,37.75409862142503,-122.47968724081964,
21879,Randall/Whitney,37.73965240712677,-122.42791489619005,
32974,Parkridge,37.75235171721828,-122.44598441749487,
27341,Moraga/19th,37.75611020231628,-122.47655429338953,
32977,Corbett/Portola/Market,37.75008261127549,-122.44334724949962,
32980,Gladeview/Skyview,37.74981292998126,-122.45027858831315,
32984,Corbett/Cuesta,37.750458965493294,-122.44396874279924,
32986,Crestline,37.75166941681581,-122.44624480315439,
27343,19th/Lawton,37.75796897884425,-122.47668419161802,
24012,Bryant/19th,37.76048525653014,-122.40999716335894,
33003,O Shaughnessy/Del Vale,37.74119873667177,-122.44596432799423,
33011,Teresita,37.7339924181094,-122.4465362825215,
33027,Duboce/Mission/Otis,37.77011144255712,-122.42000831262531,
5507,5507,37.28611805937016,-121.89826654617076,
5508,5508,37.28974727527245,-121.88776919600451,
5509,5509,37.28817888504719,-121.89212212218854,
5510,5510,37.26313950686775,-121.87684731862842,
5511,5511,37.28169094945243,-121.88177181639003,
5512,5512,37.278078948794594,-121.88012203616718,
5514,5514,37.275372960964255,-121.87896653127068,
5516,5516,37.27184424468097,-121.87850003993807,
33105,Mendell/Cargo,37.74388333339784,-122.38311822609836,
33112,Jerrold/Unnamed #109/Selby,37.74318745382509,-122.3967377322132,
33114,Jerrold/Rankin,37.742106696329756,-122.39506525959631,
33115,Jerrold/Rankin,37.74193658603804,-122.39504608158522,
5520,5520,37.22223911485041,-121.88306372832324,
33126,Rhode Island/22nd/23rd,37.756362959295096,-122.401775133403,
33128,Kirkwood/Earl,37.72863853258971,-122.37315792139808,
26199,Clayton/Carmel/Twin Peaks,37.76100672235282,-122.44643362152311,
33132,20th/Winston,37.72681634838265,-122.47602076419979,
33133,Fillmore/Bay,37.80270437528336,-122.43671198710992,
33134,Fillmore/Beach,37.80442451915534,-122.43706863731158,
33135,3rd/Palou,37.73396404426193,-122.39089745217746,
33138,Hunters Point/Innes,37.73249612390519,-122.37663804003732,
103827,103827,37.79929336508321,-122.27513154571973,
22926,14th/West Portal,37.73796988309566,-122.46905669512842,
33143,Whitney Young/Progress,37.73323651387455,-122.3834076097599,
33146,Palou/Keith,37.73180301035821,-122.38709662761042,
33147,Palou/Jennings,37.73075164480134,-122.38522655473024,
33148,Ingalls/Palou,37.729690864934874,-122.38334454571034,
33149,19th/Holloway,37.72106599336563,-122.47513667920855,
33150,33150,37.783962516178185,-122.48502059236627,
5525,5525,37.250929382147184,-121.87529217155274,
33152,33152,37.787613266126435,-122.48517074703932,
33153,Bowley/Lincoln,37.78876111955358,-122.48237338051338,
33154,Eureka/20th,37.757416600293176,-122.43795072515785,
33156,Eureka/22nd,37.754231125879215,-122.43764187610796,
5526,5526,37.25531176004417,-121.89848985723967,
33158,Bacon/Bayshore,37.72810198383857,-122.40220918698091,
5527,5527,37.23846687613737,-121.88596403682166,
33166,Diamond/23rd,37.75269911946646,-122.43644091493664,
33168,Diamond/25th,37.74949828128722,-122.43613175005892,
5528,5528,37.2433669232602,-121.88961035988031,
33170,Diamond/26th,37.74788757011619,-122.43598013423608,
5529,5529,37.245562030175606,-121.89204732498257,
5530,5530,37.250216239726385,-121.89528288437295,
33183,San Bruno/Thornton,37.730318018723416,-122.40470638989392,
33186,Diamond/Duncan,37.745479127820474,-122.43575614621412,
5531,5531,37.26177120208305,-121.9020157632386,
33188,Diamond/29th,37.74308572374309,-122.43555191208098,
33189,Diamond/Diamond Heights,37.74146106585964,-122.43562567566474,
33190,Diamond Heights/Addison,37.74015315581632,-122.43574638088887,
33191,Addison/Farnum,37.740043348867296,-122.43432475537328,
33192,Reposa/Teresita,37.74079317165157,-122.44925877183053,
5532,5532,37.280274610279726,-121.91259832900491,
33194,Myra/Omar,37.739260273217226,-122.45044357678312,
33195,Myra,37.73816180723906,-122.45085029962837,
33196,Myra/Molimo,37.73770507735514,-122.45166858061822,
27378,Lincoln/21st,37.76535098205889,-122.47939843051887,
33198,Laguna Honda/Hospital,37.74790995475241,-122.45906710403887,
33201,Clarendon/Olympia,37.75147093368549,-122.45660174642572,
33202,Galewood/Clarendon,37.75223520074781,-122.45604848309736,
33203,Clarendon/Panorama,37.75367412991352,-122.45557902216116,
5534,5534,37.27447423600842,-121.93388650890437,
33209,Hwy 101 S Off-ramp/Hester/Bayshore,37.715338793327376,-122.39899105339293,
5535,5535,37.27248275863495,-121.93294461460727,
33212,24th/Hoffman,37.750790637425006,-122.44061309388464,
33213,3rd/Hudson,37.74026609992412,-122.38865131142862,
33214,Hudson/Mendell,37.738930764280205,-122.38630994911045,
33215,Hudson/Keith,37.73742398957229,-122.38400142176148,
33216,Hudson/Cashmere,37.735832404538634,-122.38367914741379,
5536,5536,37.27064835916538,-121.90577794505708,
103841,103841,37.80726623159875,-122.28189232017189,
25111,Powell/Broadway Tunnel/Broadway,37.79742018232841,-122.41026350889184,
5538,5538,37.26797225093827,-121.90490314595917,
27384,Noriega/25th,37.753957239163356,-122.48289934252992,
103843,103843,37.802325309496545,-122.28159938646628,
27385,22nd/Moraga,37.75596635029628,-122.47981721036658,
5540,5540,37.26727852964551,-121.9226197030127,
5541,5541,37.267170215062855,-121.93155344521263,
103846,103846,37.80174375335857,-122.270563947517,
27388,23rd/Lawton,37.75777830479993,-122.4810168924333,
5543,5543,37.26168836080003,-121.92242869111539,
103848,103848,37.80354938661699,-122.27251136474342,
33269,3rd/Mendell/Palou,37.734013877821454,-122.39096789701904,
33270,Boutwell/Augusta/Bayshore,37.73428705470711,-122.40549458067473,
103849,103849,37.80272332425878,-122.27301927588687,
33272,San Bruno/Wayland,37.72643344225916,-122.40310229201165,
33273,San Bruno/Woolsey,37.725235097679814,-122.40260040740317,
5546,5546,37.2780550286755,-121.91628486609696,
103851,103851,37.80464542854559,-122.27779417330493,
33284,Cosgrove/Bayshore,37.742391766186024,-122.4058381540106,
33294,Nevada/Powhattan/Bernal Heights,37.74139458986929,-122.41119494701276,
33298,Bradford/Bernal Heights,37.74194214935373,-122.40944546085572,
103855,103855,37.8018030693263,-122.28020727080869,
33312,Merrill/Silver,37.73142809781955,-122.40891443508721,
5552,5552,37.27245153012393,-121.93548279081311,
33314,Silver/Congdon,37.728641017506426,-122.42596369400333,
103857,103857,37.80316153133537,-122.28127322454266,
5554,5554,37.26017573475674,-121.93156204674888,
5555,5555,37.250854501751995,-121.93143435545056,
33332,Silver/Lisbon,37.7285344378339,-122.42866698314137,
33338,Brazil/Mansell,37.71788738695089,-122.42247300395121,
33347,Geneva,37.7120368108183,-122.42995745430295,
33350,Visitacion/Mansell,37.71875408625549,-122.4116733213465,
33364,Army/South Van Ness,37.74821214742447,-122.41586279396329,
5563,5563,37.24850722486785,-121.95775859962062,
27409,22nd/Kirkham,37.75969026603951,-122.48007568507586,
5565,5565,37.240632331644086,-121.96072221696812,
27411,22nd/Judah,37.76155882933392,-122.48020656149656,
5566,5566,37.235605444899015,-121.96309099875671,
5567,5567,37.24334435773239,-121.93123599478447,
5569,5569,37.23616221537032,-121.93142759264967,
5571,5571,37.247938523467674,-121.95640072563295,
33430,Ocean/Geneva,37.72299177281865,-122.45159516672092,
5572,5572,37.225843845810026,-121.90316882947671,
27418,23rd/Irving,37.76337309875093,-122.48140882739251,
33470,Junipero Serra Blvd Off-ramp/Junipero Serra,37.71299705618322,-122.47120274150188,
27424,Lincoln/25th,37.7651601881557,-122.48368542892857,
5579,5579,37.253536482627496,-121.95215560796228,
33476,Junipero Serra,37.711591535340766,-122.47125215706826,
33479,Chumasero,37.7150113882807,-122.47299096610871,
33480,Cambon/Font,37.715895864793545,-122.47444642244754,
5580,5580,37.218502695337115,-121.85784212783784,
33484,Holloway/Tapia/Font,37.720702715675664,-122.4810580233349,
33489,Crespi,37.71989126145515,-122.47588609710705,
5582,5582,37.35877082668698,-121.96868197322704,
33497,Safira/Diamond Heights,37.74634797741632,-122.44008978964162,
33498,Portola/Glenview,37.746438161391175,-122.44778608937152,
5584,5584,37.22566760121073,-121.9728870922845,
21847,Chenery/Fairmount,37.73895155372405,-122.42581518680974,
33512,Winston/Lake Merced,37.727019522411396,-122.48386440189405,
33513,Winston/Buckingham,37.72821055743443,-122.47869796245863,
27431,28th/Judah,37.761275641163735,-122.48663989935159,
27303,Clement/10th,37.782750907609675,-122.46870449880899,
33519,Lake Merced/Zoo/Skyline,37.73157607398722,-122.49905897126138,
33540,Brotherhood/Lake Merced,37.714694509745925,-122.48522894403469,
33541,Lake Merced/Font,37.72399972778915,-122.48507518113273,
33563,Yorba/Sunset,37.73502341839454,-122.49401489413543,
27440,Lincoln/29th,37.76497080562391,-122.48796742987045,
33572,Clarendon/Galewood,37.752359097681484,-122.4560136134593,
5597,5597,37.25014136276502,-121.96116666671858,
33598,Monterey/Faxon,37.73075152910456,-122.45868894411862,
33605,Velasco/Schwerin,37.70802018184122,-122.41249676650092,
33611,Monterey,37.73151830146987,-122.44429995050291,
5603,5603,37.21803780107432,-121.98810464466001,
5604,5604,37.216390981862105,-121.9884196762458,
5605,5605,37.222365009358306,-121.98396658388842,
27453,16th/Fulton,37.77301112880041,-122.47455091678468,
33648,Evans/Keith/Mendell,37.73983056073848,-122.38282401321813,
5610,5610,37.23558855534135,-121.97773532834331,
33662,Crescent/Putnam,37.7350716611858,-122.41116580900938,
5611,5611,37.25274432049481,-121.96766743165749,
5612,5612,37.239900654786474,-121.99712477837183,
33674,Industrial St On-ram/Industrial/Bayshore,37.7379658775,-122.4069105078803,
33684,Sunnydale,37.714066702955606,-122.42372389234083,
5614,5614,37.257328541203066,-121.9651726491135,
33717,Winston/20th,37.73011881649798,-122.47593734987043,
33719,Winston/20th,37.72694989963323,-122.47603947691934,
33723,Munich/Geneva,37.712914375085084,-122.432857506739,
5622,5622,37.25537394332531,-122.01391313183412,
33738,Lake Merced Hill/Lake Merced,37.71131866237427,-122.48538349480391,
5623,5623,37.245439214394175,-122.01371563119336,
5625,5625,37.24572504449249,-121.80411316979398,
27311,Noriega/16th,37.754381160633706,-122.47326241357858,
27472,Balboa/Park Presidio,37.77686823935305,-122.47203954861959,
27473,Balboa/14th,37.776844008951336,-122.4725716616641,
27721,Lincoln/31st,37.76488064902978,-122.49011622698671,
27483,Geary/Park Presidio,37.78065583622724,-122.47231227208032,
27485,Clement/14th,37.78255399051263,-122.47298446468355,
22025,Army/Diamond,37.74717886598867,-122.43591613543767,
27492,Balboa/17th,37.77669298248641,-122.47588828817138,
27496,Balboa/19th,37.77659523219212,-122.47803328560798,
5656,5656,37.25778557767526,-121.85895197359436,
5658,5658,37.31552537598953,-122.0417587924271,
26413,Waller/Cole,37.76859271586603,-122.45052179652187,
5662,5662,37.3228371630915,-122.04755748321246,
5663,5663,37.322770402631036,-122.04921743379379,
32975,Corbett,37.752311869857195,-122.44361009416068,
5670,5670,37.33737373470634,-122.06306515544918,
