route_id,agency_id,route_short_name,route_long_name,route_type
80_GG72SBB,golden_gate_transit,GG72SBB,GG72SBB,3
80_GG72NBA,golden_gate_transit,GG72NBA,GG72NBA,3
80_GG72XNB,golden_gate_transit,GG72X,GG72X_NB,3
80_GG74NB,golden_gate_transit,GG74,GG74_NB,3
80_GG76SB,golden_gate_transit,GG76,GG76_SB,3
80_GG76NB,golden_gate_transit,GG76,GG76_NB,3
80_GG8NB,golden_gate_transit,GG8,GG8_NB,3
80_GG24SBA,golden_gate_transit,GG24SBA,GG24SBA,3
80_GG24SBB,golden_gate_transit,GG24SBB,GG24SBB,3
80_GG24NBA,golden_gate_transit,GG24NBA,GG24NBA,3
80_GG24NBB,golden_gate_transit,GG24NBB,GG24NBB,3
80_GG93SB,golden_gate_transit,GG93,GG93_SB,3
80_GG10SB,golden_gate_transit,GG10,GG10_SB,3
80_GG10SBX,golden_gate_transit,GG10SBX,GG10SBX,3
80_GG70SBX,golden_gate_transit,GG70SBX,GG70SBX,3
70_10NVTN,vine,10NVTN,10NVTN,3
70_10NVTNA,vine,10NVTNA,10NVTNA,3
70_10NVTS,vine,10NVTS,10NVTS,3
70_10NVTSA,vine,10NVTSA,10NVTSA,3
70_10NVTSEXP,vine,10NVTSEXP,10NVTSEXP,3
70_VVFEXP,vine,VVFEXP,VVFEXP,3
70_10NVTNB,vine,10NVT,10NVT_NB,3
70_10NVTSB,vine,10NVT,10NVT_SB,3
78_1CheryVal,petaluma,1CheryVal,1CheryVal,3
78_2SouthMcD,petaluma,2SouthMcD,2SouthMcD,3
78_2NorthMcD,petaluma,2NorthMcD,2NorthMcD,3
78_3Ely,petaluma,3Ely,3Ely,3
27_17,samtrans,17,17,3
27_16A,samtrans,16A,16A,3
27_16B,samtrans,16B,16B,3
27_16C,samtrans,16C,16C,3
27_112SB,samtrans,112,112_SB,3
27_112NB,samtrans,112,112_NB,3
27_14CCW,samtrans,14CCW,14CCW,3
27_14CW,samtrans,14CW,14CW,3
27_16D,samtrans,16D,16D,3
27_16E,samtrans,16E,16E,3
27_110,samtrans,110,110,3
27_112,samtrans,112,112,3
27_110A,samtrans,110A,110A,3
26_KXN,samtrans,KXN,KXN,3
26_KXS,samtrans,KXS,KXS,3
30_390,samtrans,390,390,3
30_292N,samtrans,292N,292N,3
30_292S,samtrans,292S,292S,3
30_391NC,samtrans,391NC,391NC,3
30_391NB,samtrans,391,391_NB,3
30_391NA,samtrans,391NA,391NA,3
30_391SC,samtrans,391SC,391SC,3
30_391SB,samtrans,391,391_SB,3
30_391SA,samtrans,391SA,391SA,3
30_292NA,samtrans,292NA,292NA,3
30_292SA,samtrans,292SA,292SA,3
30_294NB,samtrans,294,294_NB,3
30_294SB,samtrans,294,294_SB,3
30_295,samtrans,295,295,3
30_295A,samtrans,295A,295A,3
30_296NBA,samtrans,296NBA,296NBA,3
30_296NBC,samtrans,296NBC,296NBC,3
30_296NBD,samtrans,296NBD,296NBD,3
30_296SB,samtrans,296,296_SB,3
30_297,samtrans,297,297,3
30_397,samtrans,397,397,3
28_121,samtrans,121,121,3
28_123A,samtrans,123A,123A,3
28_133,samtrans,133,133,3
28_132,samtrans,132,132,3
28_141,samtrans,141,141,3
28_140,samtrans,140,140,3
28_122NB,samtrans,122,122_NB,3
28_122SB,samtrans,122,122_SB,3
28_123BNB,samtrans,123B,123B_NB,3
28_123BSB,samtrans,123B,123B_SB,3
28_120NB,samtrans,120,120_NB,3
28_120SB,samtrans,120,120_SB,3
28_130NB,samtrans,130,130_NB,3
28_130SB,samtrans,130,130_SB,3
29_250W,samtrans,250W,250W,3
29_250E,samtrans,250E,250E,3
29_251,samtrans,251,251,3
29_260,samtrans,260,260,3
29_262,samtrans,262,262,3
29_271,samtrans,271,271,3
29_280,samtrans,280,280,3
29_281,samtrans,281,281,3
29_274,samtrans,274,274,3
29_260A,samtrans,260A,260A,3
29_53B,samtrans,53B,53B,3
29_54C,samtrans,54C,54C,3
29_54B,samtrans,54B,54B,3
29_54A,samtrans,54A,54A,3
29_58A,samtrans,58A,58A,3
29_83D,samtrans,83D,83D,3
29_83C,samtrans,83C,83C,3
29_83B,samtrans,83B,83B,3
29_83A,samtrans,83A,83A,3
29_85A,samtrans,85A,85A,3
29_85B,samtrans,85B,85B,3
29_270s,samtrans,270s,270s,3
29_270n,samtrans,270n,270n,3
29_53A,samtrans,53A,53A,3
29_55EB,samtrans,55,55_EB,3
29_55WB,samtrans,55,55_WB,3
29_58B,samtrans,58B,58B,3
29_72A,samtrans,72A,72A,3
29_72,samtrans,72,72,3
29_73SB,samtrans,73,73_SB,3
29_73NB,samtrans,73,73_NB,3
29_83AR,samtrans,83A,83A_R,3
29_83BR,samtrans,83B,83B_R,3
29_85C,samtrans,85C,85C,3
76_5SothPark,santa_rosa,5SothPark,5SothPark,3
76_8sMAY,santa_rosa,8sMAY,8sMAY,3
76_8nMAY,santa_rosa,8nMAY,8nMAY,3
76_10PinerRd,santa_rosa,10PinerRd,10PinerRd,3
76_11FLO,santa_rosa,11FL,11FL_O,3
76_12RVO,santa_rosa,12RV,12RV_O,3
76_12RVI,santa_rosa,12RV,12RV_I,3
76_17,santa_rosa,17,17,3
76_18,santa_rosa,18,18,3
76_3W9,santa_rosa,3W9,3W9,3
76_1CHO,santa_rosa,1CH,1CH_O,3
76_1CHI,santa_rosa,1CH,1CH_I,3
76_6W3O,santa_rosa,6W3,6W3_O,3
76_6W3I,santa_rosa,6W3,6W3_I,3
76_14MNO,santa_rosa,14MN,14MN_O,3
76_14MNI,santa_rosa,14MN,14MN_I,3
76_2BVO,santa_rosa,2BV,2BV_O,3
76_2BVI,santa_rosa,2BV,2BV_I,3
76_4RO,santa_rosa,4R,4R_O,3
76_4RI,santa_rosa,4R,4R_I,3
76_16w,santa_rosa,16w,16w,3
76_16,santa_rosa,16,16,3
76_16e,santa_rosa,16e,16e,3
76_15SB,santa_rosa,15,15_SB,3
76_15NB,santa_rosa,15,15_NB,3
76_9EBCRP,santa_rosa,9EBCRP,9EBCRP,3
76_9WBCRP,santa_rosa,9WBCRP,9WBCRP,3
34_180VTN,scvta,180VTN,180VTN,3
34_180VTS,scvta,180VTS,180VTS,3
34_101NBVTA,scvta,101,101_NB,3
34_101SBVTA,scvta,101,101_SB,3
34_102NBVTA,scvta,102,102_NB,3
34_102SBVTA,scvta,102,102_SB,3
34_104WBVTA,scvta,104,104_WB,3
34_104EBVTA,scvta,104,104_EB,3
34_122NBVTA,scvta,122,122_NB,3
34_122SBVTA,scvta,122,122_SB,3
34_140SBVTA,scvta,140,140_SB,3
34_140NBVTA,scvta,140,140_NB,3
34_140ASBVTA,scvta,140A,140A_SB,3
34_182SBVTA,scvta,182,182_SB,3
34_182NBVTA,scvta,182,182_NB,3
34_103WBVTA,scvta,103,103_WB,3
34_103EBVTA,scvta,103,103_EB,3
34_120SBVTA,scvta,120,120_SB,3
34_120NBVTA,scvta,120,120_NB,3
34_121NBVTA,scvta,121,121_NB,3
34_121SBVTA,scvta,121,121_SB,3
34_522VTA,scvta,522,522,3
33_304NBVTA,scvta,304,304_NB,3
33_304SBVTA,scvta,304,304_SB,3
33_305NBVTA,scvta,305,305_NB,3
33_305SBVTA,scvta,305,305_SB,3
33_321WBVTA,scvta,321,321_WB,3
33_321EBVTA,scvta,321,321_EB,3
33_328NBVTA,scvta,328,328_NB,3
33_328SBVTA,scvta,328,328_SB,3
33_330NBVTA,scvta,330,330_NB,3
33_330SBVTA,scvta,330,330_SB,3
32_13VTA,scvta,13,13,3
32_15VTA,scvta,15,15,3
32_16VTA,scvta,16,16,3
32_17VTA,scvta,17,17,3
32_22BVTA,scvta,22B,22B,3
32_23VTA,scvta,23,23,3
32_23AVTA,scvta,23A,23A,3
32_26VTA,scvta,26,26,3
32_32VTA,scvta,32,32,3
